member,address,start_date,end_date,season
Teresacd,0x1f9e7984eddb135ab6d6f354e229970bb332dcc4,04-01-2024,26-06-2024,5
Oxytocin,0x72cb40a11781ff0149abb55a1adebe2407575030,04-01-2024,26-06-2024,5
Axel_T,0xbfdffcd81a3796f55b476b36937253fa6267644b,04-01-2024,26-06-2024,5
Juanbug_PGov,0x3fb19771947072629c8eee7995a2ef23b72d4c8a,04-01-2024,26-06-2024,5
Juankbell,0x7d547666209755fb833f9b37eebea38ebf513abb,04-01-2024,26-06-2024,5
Gene,0x4318cc449b1cbe6d64dd82e16abe58c79e076c2b,04-01-2024,26-06-2024,5
Oxytocin,0x72cb40a11781ff0149abb55a1adebe2407575030,27-06-2024,31-12-2024,6
fujiar,0x66946def4ba6153c500d743b7a5febfc1654d6bd,27-06-2024,31-12-2024,6
Pumbi,0x0374f0273e01841f594a4c0becdf7bfbd9b13a42,27-06-2024,31-12-2024,6
CryptoReuMD,0xa8f0048a0d1a04663ca5010d0beac5bcaeea0eef,27-06-2024,31-12-2024,6
alexsotodigital,,27-06-2024,31-12-2024,6
