member,address,start_date,end_date,season
Philogy,0xc3ffd59bd2ab6fb4187672723276d953142fddde,04-01-2024,26-06-2024,5
Noah,0xf6401adc23faa6b9ad83ea8604ca7254cb7f53e7,04-01-2024,26-06-2024,5
Zach,0xf346100e892553dceb41a927fb668da7b0b7c964,04-01-2024,26-06-2024,5
Jepsen,0xc7fe1135ba71e03a7a6b9e1ddb8f653f143bdcf9,04-01-2024,26-06-2024,5
OP Labs Representative (non-voting): Kelvin,0x64d8b3da3ac1ada3e9dd1da29335a9e586fd6ae5,04-01-2024,26-06-2024,5
wildmolasses,0x69e271483c38ed4902a55c3ea8aab9e7cc8617e5,27-06-2024,31-12-2024,6
devtooligan,0xe7aa7af667016837733f3ca3809bde04697730ef,27-06-2024,31-12-2024,6
blockdev,,27-06-2024,31-12-2024,6
Noah.eth ,0x436c7f148cc5dbc90b5531278c87877bdbd83e27,27-06-2024,31-12-2024,6
Wbnns,0x60ec4fd8069513f738f3a0f41b9e00c294e74bf3,27-06-2024,31-12-2024,6
